#G.Network Public Range Geo-feed

# prefix,country_code,region_code,city,postal
# 104.132.107.0/24,US,US-NJ,Princeton,08540
# 193.0.24.0/21,NL,NL-ZH,Rotterdam,
# 199.91.192.0/21,MA,MA-07,Marrakech,
# 2001:67c:1230::/46,SG,SG-01,Singapore,
# 46.137.79.134/32,,,,

# When updating this file you must add a REM with the data shown including date and time and get it reviewed by Network.Support@G.Network

# ******* Update List ********
# Updated by A.Graham 2022-Jun-20, 11:42.  Added 7 Prefixes, 45.80.244.0/22 to 45.92.120.0/22 and updated the regional code for UK, London.
# Updated by A.Graham 2022-Jun-28, 15:42.  Removed line 43 due to it being a duplication: 185.176.160.0/22,GB,GB-LND,London,W1B2AF.
# Updated by A.Graham 2022-Aug-08, 10:30.  Added 1 Prefix, 80.249.16.0/20.
# Updated by A.Graham 2022-Nov-14, 09:54.  Added 12 Prefixes.
# Updated by T.Nicholson 2022-Nov-24 xx:xx.  Added 1 Prefix, 193.46.20.0/22.
# Updated by A.Graham 2023-Feb-02, 08:28.  Added 1 Prefix, 195.26.112.0/20.

185.106.72.0/22,GB,GB-LND,London,W1B2AF
185.111.72.0/22,GB,GB-LND,London,W1B2AF
185.14.88.0/22,GB,GB-LND,London,W1B2AF
185.159.76.0/22,GB,GB-LND,London,W1B2AF
185.222.80.0/22,GB,GB-LND,London,W1B2AF
185.225.44.0/22,GB,GB-LND,London,W1B2AF
185.247.172.0/22,GB,GB-LND,London,W1B2AF
185.236.184.0/22,GB,GB-LND,London,W1B2AF
185.248.104.0/22,GB,GB-LND,London,W1B2AF
185.250.188.0/22,GB,GB-LND,London,W1B2AF
185.240.108.0/22,GB,GB-LND,London,W1B2AF
185.239.32.0/22,GB,GB-LND,London,W1B2AF
185.254.136.0/22,GB,GB-LND,London,W1B2AF
185.226.36.0/22,GB,GB-LND,London,W1B2AF
160.19.180.0/22,GB,GB-LND,London,W1B2AF
193.29.28.0/22,GB,GB-LND,London,W1B2AF
193.39.240.0/22,GB,GB-LND,London,W1B2AF
176.97.152.0/22,GB,GB-LND,London,W1B2AF
45.152.232.0/22,GB,GB-LND,London,W1B2AF
45.95.156.0/22,GB,GB-LND,London,W1B2AF
45.145.48.0/22,GB,GB-LND,London,W1B2AF
45.139.12.0/22,GB,GB-LND,London,W1B2AF
45.134.228.0/22,GB,GB-LND,London,W1B2AF
194.6.251.0/24,GB,GB-LND,London,W1B2AF
194.6.252.0/24,GB,GB-LND,London,W1B2AF
194.6.254.0/24,GB,GB-LND,London,W1B2AF
95.141.16.0/20,GB,GB-LND,London,W1B2AF
185.176.160.0/22,GB,GB-LND,London,W1B2AF
45.80.244.0/22,GB,GB-LND,London,W1B2AF
45.133.120.0/21,GB,GB-LND,London,W1B2AF
45.12.240.0/22,GB,GB-LND,London,W1B2AF
45.141.132.0/22,GB,GB-LND,London,W1B2AF
45.149.188.0/22,GB,GB-LND,London,W1B2AF
45.133.128.0/22,GB,GB-LND,London,W1B2AF
45.92.120.0/22,GB,GB-LND,London,W1B2AF
80.249.16.0/20,GB,GB-LND,London,W1B2AF
45.159.64.0/23,GB,GB-LND,London,W1B2AF
62.197.32.0/21,GB,GB-LND,London,W1B2AF
62.197.42.0/23,GB,GB-LND,London,W1B2AF
62.197.46.0/23,GB,GB-LND,London,W1B2AF
62.197.52.0/22,GB,GB-LND,London,W1B2AF
62.197.56.0/21,GB,GB-LND,London,W1B2AF
85.8.164.0/22,GB,GB-LND,London,W1B2AF
86.105.196.0/24,GB,GB-LND,London,W1B2AF
130.195.48.0/22,GB,GB-LND,London,W1B2AF
130.195.60.0/22,GB,GB-LND,London,W1B2AF
185.96.220.0/22,GB,GB-LND,London,W1B2AF
185.179.12.0/22,GB,GB-LND,London,W1B2AF
193.46.20.0/22,GB,GB-LND,London,W1B2AF
195.26.112.0/20,GB,GB-LND,London,W1B2AF
